player_name,team,position,assists,goals,minutes_played,red_cards,yellow_cards,season
Aarón Escandell,Granada CF,Goalkeeper,,,283.0,1.0,1.0,s2122
Abdelkabir Abqar,Deportivo Alavés,Defender,,,,,,s2122
Abdessamad Ezzalzouli,FC Barcelona,Forward,,1.0,581.0,,4.0,s2122
Abdón Prats,RCD Mallorca,Forward,,3.0,633.0,,4.0,s2122
Adama Traoré,FC Barcelona,Forward,2.0,,378.0,,,s2122
Adnan Januzaj,Real Sociedad,Midfielder,,3.0,1625.0,,5.0,s2122
Adrià Pedrosa,RCD Espanyol de Barcelona,Defender,1.0,1.0,2722.0,,8.0,s2122
Adrián Butzke,,,,,,,,s2122
Adrián De la Fuente,Villarreal CF,Defender,,,,,,s2122
Adrián Embarba,RCD Espanyol de Barcelona,Forward,2.0,,1995.0,,4.0,s2122
Adrián Quintela,Rayo Vallecano,Goalkeeper,,,,,,s2122
Adrián Rodríguez,Deportivo Alavés,Goalkeeper,,,,,,s2122
Aihen Muñoz,Real Sociedad,Defender,,,1344.0,1.0,2.0,s2122
Aitor Fernández,Levante UD,Goalkeeper,,,1167.0,1.0,1.0,s2122
Aitor Paredes,Athletic Club,Defender,,,,,,s2122
Aitor Ruibal,Real Betis,Forward,,,858.0,,6.0,s2122
Alan Godoy,Deportivo Alavés,Forward,,,,,,s2122
Alberto Flores,Sevilla FC,Goalkeeper,,,,,,s2122
Alberto Moreno,Villarreal CF,Defender,2.0,3.0,1222.0,,3.0,s2122
Alberto Moreno Rebanal,Atlético de Madrid,Midfielder,,,,,,s2122
Alberto Perea,Cádiz CF,Midfielder,1.0,,775.0,,2.0,s2122
Alberto Soro,Granada CF,Midfielder,,,575.0,,,s2122
Aleix Febas,Málaga CF,Midfielder,1.0,2.0,1414.0,,2.0,s2122
Aleix Gorjón,RCD Espanyol de Barcelona,Forward,,,,,,s2122
Aleix Vidal,RCD Espanyol de Barcelona,Defender,,2.0,1905.0,,10.0,s2122
Alejandro Pérez Cea,RCD Espanyol de Barcelona,Midfielder,,,,,,s2122
Alejandro Asensio,Rayo Vallecano,Forward,,,12.0,,,s2122
Alejandro Cantero,Levante UD,Forward,1.0,,595.0,,1.0,s2122
Alejandro Catena,Rayo Vallecano,Defender,2.0,2.0,3240.0,,8.0,s2122
Alejandro Pozo,UD Almería,Midfielder,3.0,3.0,3174.0,,1.0,s2122
Alejandro Primo,Levante UD,Goalkeeper,,,90.0,,,s2122
Aleksander Sedlar,RCD Mallorca,Defender,,,401.0,1.0,3.0,s2122
Alessandro Burlamaqui,Valencia CF,Midfielder,,,,,,s2122
Alejandro Berenguer Remiro,Athletic Club,Forward,6.0,3.0,2172.0,,8.0,s2122
Alex Petxarroman,Athletic Club,Defender,,,401.0,,4.0,s2122
Alexandru Mircea Tirlea,Deportivo Alavés,Midfielder,,,14.0,,,s2122
Alexander Isak,Real Sociedad,Forward,2.0,6.0,2155.0,,6.0,s2122
Alexander Sørloth,Real Sociedad,Forward,,4.0,1760.0,,2.0,s2122
Alfonso González Martínez,RC Celta,Forward,,,,,,s2122
Alfonso Espino,Cádiz CF,Defender,2.0,2.0,3329.0,,6.0,s2122
Alfonso Pastor,Sevilla FC,Goalkeeper,,,,,,s2122
Alfonso Pedraza,Villarreal CF,Forward,4.0,4.0,1703.0,,2.0,s2122
Allan-Roméo Nyom,CD Leganés,Defender,1.0,1.0,1263.0,,5.0,s2122
Amath Ndiaye,RCD Mallorca,Forward,1.0,,884.0,,5.0,s2122
Ander Barrenetxea,Real Sociedad,Forward,1.0,1.0,548.0,,,s2122
Ander Capa,Athletic Club,Defender,,,3.0,,,s2122
Ander Guevara,Real Sociedad,Midfielder,,,870.0,,2.0,s2122
Ander Iruarrizaga,Athletic Club,Goalkeeper,,,,,,s2122
Ander Martín,Real Sociedad,Forward,,,85.0,,,s2122
Andoni Gorosabel,Real Sociedad,Defender,4.0,,2296.0,,4.0,s2122
Andrii Lunin,Real Madrid,Goalkeeper,,,180.0,,,s2122
Andrés Guardado,Real Betis,Midfielder,1.0,,1394.0,,4.0,s2122
Andrés Martín,CD Tenerife,Forward,2.0,2.0,699.0,,1.0,s2122
Anssumane Fati Vieira,FC Barcelona,Forward,,4.0,331.0,,,s2122
Ante Budimir,CA Osasuna,Forward,2.0,8.0,1742.0,,3.0,s2122
Anthony Lozano,Cádiz CF,Forward,2.0,7.0,1677.0,,8.0,s2122
Anthony Martial,Sevilla FC,Forward,1.0,,495.0,,1.0,s2122
Antoine Griezmann,Atlético de Madrid,Forward,4.0,3.0,1706.0,,3.0,s2122
Antonio Barragán,Elche CF,Defender,,,1022.0,,5.0,s2122
Antonio Blanco,Real Madrid,Midfielder,,,30.0,,,s2122
Antonio Gomís Alemañ,Atlético de Madrid,Goalkeeper,,,,,,s2122
Antonio Leal,,,,,,,,s2122
Antonio Marchena,Real Betis,Midfielder,,,,,,s2122
Antonio Pacheco,Villarreal CF,Midfielder,,,,,,s2122
José Antonio Rodríguez Díaz,Granada CF,Midfielder,1.0,6.0,2270.0,,4.0,s2122
Antonio Raíllo,RCD Mallorca,Defender,,2.0,1530.0,,8.0,s2122
Antonio Sivera,Deportivo Alavés,Goalkeeper,,,276.0,,1.0,s2122
Antonio Sánchez,RCD Mallorca,Midfielder,,1.0,1622.0,,3.0,s2122
Antonio Zarzana,Sevilla FC,Forward,,,,,,s2122
Aridane Hernández,CA Osasuna,Defender,,,1159.0,,1.0,s2122
Aritz Elustondo,Real Sociedad,Defender,1.0,4.0,2102.0,1.0,3.0,s2122
Arnau Comas,FC Barcelona,Defender,,,,,,s2122
Arnau Tenas,FC Barcelona,Goalkeeper,,,,,,s2122
Arnaut Danjuma,Villarreal CF,Midfielder,3.0,10.0,1477.0,,2.0,s2122
Asier Illarramendi,Real Sociedad,Midfielder,,,377.0,,1.0,s2122
Asier Villalibre,Athletic Club,Forward,,2.0,538.0,,,s2122
Augusto Solari,RC Celta,Midfielder,,,698.0,,5.0,s2122
Axel Werner,,,,,,,,s2122
Aïssa Mandi,Villarreal CF,Defender,,1.0,1374.0,,3.0,s2122
Alejandro Balde Martínez,FC Barcelona,Defender,,,187.0,,,s2122
