player_name,team,season,position,minutes_played,goals,assists,yellow_cards,red_cards
Aarón Escandell,Granada,s2122,Goalkeeper,283.0,0.0,0.0,1.0,1.0
Aarón Escandell,Las Palmas,s2324,Not Available,152.0,0.0,0.0,0.0,1.0
Abde Ezzalzouli,Real Betis,s2425,LW,32.0,0.0,0.0,0.0,0.0
Abdel Abqar,Alavés,s2425,CB,90.0,0.0,0.0,1.0,0.0
Abdelkabir Abqar,Alavés,s2122,Defender,0.0,0.0,0.0,0.0,0.0
Abdelkabir Abqar,Alavés,s2324,Not Available,2314.0,0.0,0.0,10.0,0.0
Abderrahman Rebbach,Alavés,s2324,Not Available,713.0,1.0,0.0,1.0,0.0
Abderrahman Rebbach,Alavés,s2425,"LW,LM",69.0,0.0,0.0,1.0,0.0
Abdessamad Ezzalzouli,Barcelona,s2122,Forward,581.0,1.0,0.0,4.0,0.0
Abdessamad Ezzalzouli,Osasuna,s2223,   AM(L),855.0,1.0,2.0,1.0,1.0
Abdessamad Ezzalzouli,Real Betis,s2324,Not Available,921.0,1.0,0.0,1.0,0.0
Abdoulaye Keita,Getafe,s2425,LM,28.0,0.0,0.0,0.0,0.0
Abdul Mumin,Rayo Vallecano,s2223,   D(C),282.0,0.0,0.0,1.0,0.0
Abdul Mumin,Rayo Vallecano,s2324,Not Available,1695.0,1.0,0.0,5.0,1.0
Abdul Mumin,Rayo Vallecano,s2425,CB,90.0,0.0,1.0,0.0,0.0
Abdulai Juma Bah,Valladolid,s2425,CB,77.0,0.0,0.0,0.0,0.0
Abdón Prats,Mallorca,s2122,Forward,633.0,3.0,0.0,4.0,0.0
Abdón Prats,Mallorca,s2223,   FW,251.0,1.0,1.0,0.0,0.0
Abdón Prats,Mallorca,s2324,Not Available,1258.0,6.0,1.0,3.0,0.0
Abdón Prats,Mallorca,s2425,FW,6.0,0.0,0.0,0.0,0.0
Abel,Osasuna,s2425,LB,59.0,0.0,0.0,0.0,0.0
Abel Ruiz,Girona,s2425,FW,80.0,0.0,0.0,0.0,0.0
Abner,Real Betis,s2223,   D(L) M(L),367.0,0.0,0.0,2.0,0.0
Abner,Real Betis,s2324,Not Available,1397.0,0.0,1.0,3.0,0.0
Aboubacar Bassinga,Las Palmas,s2425,AM,4.0,0.0,0.0,0.0,0.0
Adama Boiro,Athletic Club,s2425,LB,78.0,0.0,0.0,0.0,0.0
Adama Traoré,Barcelona,s2122,Forward,378.0,0.0,2.0,0.0,0.0
Adnan Januzaj,Las Palmas,s2425,CM,17.0,0.0,0.0,1.0,0.0
Adnan Januzaj,Real Sociedad,s2122,Midfielder,1625.0,3.0,0.0,5.0,0.0
Adnan Januzaj,Sevilla,s2223,   AM(CLR),47.0,0.0,0.0,0.0,0.0
Adnan Januzaj,Sevilla,s2324,Not Available,187.0,0.0,0.0,0.0,0.0
Adri Embarba,Rayo Vallecano,s2425,LM,74.0,0.0,0.0,1.0,0.0
Adrià Altimira,Leganés,s2425,"RM,CM",4.0,0.0,0.0,0.0,0.0
Adrià Altimira,Villarreal,s2324,Not Available,779.0,0.0,0.0,3.0,0.0
Adrià Pedrosa,Espanyol,s2122,Defender,2722.0,1.0,1.0,8.0,0.0
Adrià Pedrosa,Sevilla,s2324,Not Available,1749.0,1.0,4.0,1.0,0.0
Adrià Pedrosa,Sevilla,s2425,LB,90.0,0.0,0.0,1.0,0.0
