competition,player.url,id,slug,player_name,nickname,firstname,lastname,gender,date_of_birth,place_of_birth,weight,height,international,twitter,instagram,country,team,team.shortname,team.foundation,team.shield,shirt_number,position,photo,stadium,stadium.image,aerial_duels,aerial_duels_lost,aerial_duels_won,appearances,assists_intentional,attempts_from_set_pieces,away_goals,backward_passes,blocked_shots,blocks,catches,clean_sheets,clearances_off_the_line,corners_taken_incl_short_corners,corners_won,crosses_not_claimed,drops,duels,duels_lost,duels_won,fifty_fifty,forward_passes,foul_attempted_tackle,foul_won_penalty,games_played,gk_successful_distribution,gk_unsuccessful_distribution,assists,goalkeeper_smother,goals,goals_conceded,goals_conceded_inside_box,goals_conceded_outside_box,goals_from_inside_box,goals_from_outside_box,ground_duels,ground_duels_lost,ground_duels_won,handballs_conceded,headed_goals,hit_woodwork,home_goals,index,interceptions,key_passes_attempt_assists,last_man_tackle,left_foot_goals,leftside_passes,offsides,open_play_passes,other_goals,own_goal_scored,penalties_conceded,penalties_faced,penalties_off_target,penalties_saved,penalties_taken,penalty_goals,penalty_goals_conceded,punches,putthrough_blocked_distribution,putthrough_blocked_distribution_won,recoveries,red_cards_2nd_yellow,right_foot_goals,rightside_passes,saves_from_penalty,saves_made,saves_made_caught,saves_made_from_inside_box,saves_made_from_outside_box,saves_made_parried,second_goal_assists,set_pieces_goals,shots_off_target_inc_woodwork,shots_on_target_inc_goals,starts,straight_red_cards,substitute_off,substitute_on,successful_corners_into_box,successful_crosses_corners,successful_crosses_open_play,successful_dribbles,successful_fifty_fifty,successful_launches,successful_layoffs,successful_long_passes,successful_open_play_passes,successful_passes_opposition_half,successful_passes_own_half,successful_short_passes,tackles_lost,tackles_won,team_games_played,through_balls,throw_ins_to_opposition_player,throw_ins_to_own_player,minutes_played,times_tackled,total_clearances,total_fouls_conceded,total_fouls_won,total_losses_of_possession,total_passes,red_cards,total_shots,total_successful_passes_excl_crosses_corners,total_tackles,total_touches_in_opposition_box,total_unsuccessful_passes_excl_crosses_corners,touches,unsuccessful_corners_into_box,unsuccessful_crosses_corners,unsuccessful_crosses_open_play,unsuccessful_dribbles,unsuccessful_launches,unsuccessful_layoffs,unsuccessful_long_passes,unsuccessful_passes_opposition_half,unsuccessful_passes_own_half,unsuccessful_short_passes,winning_goal,yellow_cards
LaLiga Santander,https://www.laliga.com/en-ES/player/aaron,1307,aaron,Aarón Escandell,Aarón,Aarón,Escandell,male,1995-09-27T00:00:00+00:00,Carcagente,71.0,185.0,False,https://twitter.com/pipa_aaron,https://instagram.com/_aaronescandell/,ES,Granada CF,GRA,1931-01-01T00:00:00+0000,https://assets.laliga.com/assets/2019/06/07/medium/granada.png,13.0,Goalkeeper,https://assets.laliga.com/squad/2021/t5683/p176278/512x556/p176278_t5683_2021_1_001_000.png,Nuevo Los Cármenes,https://assets.laliga.com/assets/2019/08/07/medium/4de53714b029bf44d86c53bd0d6835d3.png,,,,4.0,,,0.0,,,,3.0,1.0,,,,,,2.0,1.0,1.0,1.0,99.0,,,4.0,34.0,16.0,,,,6.0,6.0,,,,2.0,1.0,1.0,,,,0.0,50.0,,,,,6.0,,45.0,,,,2.0,,,,,2.0,1.0,,,38.0,,,10.0,,10.0,1.0,5.0,5.0,1.0,,,,,3.0,1.0,,1.0,,,,,1.0,2.0,,38.0,21.0,27.0,32.0,21.0,,,38.0,,,,283.0,,5.0,,1.0,56.0,115.0,1.0,,59.0,,,56.0,148.0,,,,,21.0,,55.0,49.0,7.0,1.0,0.0,1.0
LaLiga Santander,https://www.laliga.com/en-ES/player/abqar,8715,abqar,Abdelkabir Abqar,Abqar,Abdelkabir,Abqar,male,1999-03-10T00:00:00+00:00,Settat,80.0,188.0,False,,,MA,Deportivo Alavés,ALA,1921-01-23T00:00:00+0000,https://assets.laliga.com/assets/2020/09/01/medium/27002754a98bf535807fe49a24cc63ea.png,26.0,Defender,https://assets.laliga.com/squad/2021/t173/p463001/512x556/p463001_t173_2021_1_001_000.png,Mendizorroza,https://assets.laliga.com/assets/2019/06/17/medium/6b906780ba96aa6689192fb9afcaac6b.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaLiga Santander,https://www.laliga.com/en-ES/player/abdessamad-ezzalzouli,13770,abdessamad-ezzalzouli,Abdessamad Ezzalzouli,Abde,Abdessamad,Ezzalzouli,male,2001-12-17T00:00:00+00:00,Beni Melal,,,False,,,MA,FC Barcelona,BAR,1899-11-29T00:00:00+0000,https://assets.laliga.com/assets/2019/06/07/medium/barcelona.png,33.0,Forward,,Camp Nou,https://assets.laliga.com/assets/2019/06/17/medium/0623ce55ec3ee4e439ed6d24fe2ba77b.png,10.0,7.0,3.0,10.0,,,1.0,70.0,6.0,,,,,1.0,12.0,,,130.0,61.0,69.0,16.0,14.0,7.0,,10.0,,,,,1.0,8.0,6.0,2.0,1.0,,120.0,54.0,66.0,2.0,,1.0,0.0,35.0,9.0,6.0,,,38.0,2.0,167.0,,,,,,,,,,,11.0,3.0,29.0,,1.0,46.0,,,,,,,,,6.0,4.0,6.0,,5.0,4.0,,2.0,2.0,34.0,6.0,,,2.0,127.0,98.0,32.0,126.0,8.0,9.0,38.0,,1.0,2.0,581.0,37.0,,17.0,15.0,122.0,168.0,,10.0,128.0,17.0,58.0,40.0,364.0,,13.0,13.0,25.0,,,,45.0,8.0,40.0,0.0,4.0
LaLiga Santander,https://www.laliga.com/en-ES/player/abdon,200,abdon,Abdón Prats,Abdon,Abdón,Prats,male,1992-12-07T00:00:00+00:00,Artá,81.0,181.0,False,,,ES,RCD Mallorca,MLL,1916-03-06T00:00:00+0000,https://assets.laliga.com/assets/2019/06/07/medium/mallorca.png,9.0,Forward,https://assets.laliga.com/squad/2021/t181/p92187/512x556/p92187_t181_2021_1_001_000.png,Visit Mallorca Estadi,https://assets.laliga.com/assets/2019/08/07/medium/6f67f604b5025b10ef0dc14d700586ae.png,62.0,31.0,31.0,23.0,,2.0,1.0,41.0,4.0,,,,,,2.0,,,121.0,66.0,55.0,12.0,45.0,4.0,,23.0,,,,,3.0,14.0,13.0,1.0,3.0,,59.0,35.0,24.0,1.0,,2.0,2.0,22.0,1.0,10.0,,3.0,35.0,2.0,137.0,,,,,,,,,1.0,,10.0,5.0,21.0,,,33.0,,,,,,,,,8.0,6.0,6.0,,6.0,17.0,,,,7.0,7.0,,8.0,4.0,88.0,67.0,37.0,100.0,,2.0,38.0,,,,633.0,25.0,5.0,8.0,15.0,94.0,154.0,,14.0,104.0,2.0,29.0,50.0,269.0,,2.0,2.0,4.0,1.0,4.0,2.0,41.0,11.0,48.0,1.0,4.0
LaLiga Santander,https://www.laliga.com/en-ES/player/adama,536,adama,Adama Traoré,Adama,Adama,Traoré,male,1996-01-25T00:00:00+00:00,L'Hospitalet de Llobregat,86.0,178.0,False,,,ES,FC Barcelona,BAR,1899-11-29T00:00:00+0000,https://assets.laliga.com/assets/2019/06/07/medium/barcelona.png,11.0,Forward,https://assets.laliga.com/squad/2021/t178/p159533/512x556/p159533_t178_2021_1_001_000.png,Camp Nou,https://assets.laliga.com/assets/2019/06/17/medium/0623ce55ec3ee4e439ed6d24fe2ba77b.png,7.0,2.0,5.0,11.0,2.0,,0.0,54.0,2.0,,,,,,6.0,,,66.0,26.0,40.0,11.0,20.0,1.0,,11.0,,,2.0,,,7.0,6.0,1.0,,,59.0,24.0,35.0,1.0,,,0.0,87.0,4.0,5.0,,,47.0,2.0,128.0,,,,,,,,,,,8.0,2.0,20.0,,,7.0,,,,,,,,,4.0,3.0,4.0,,3.0,7.0,,11.0,11.0,24.0,4.0,,2.0,3.0,109.0,100.0,20.0,106.0,2.0,2.0,38.0,,1.0,1.0,378.0,16.0,3.0,7.0,7.0,78.0,128.0,,7.0,109.0,4.0,31.0,19.0,259.0,,27.0,27.0,11.0,1.0,,1.0,40.0,6.0,18.0,0.0,
LaLiga Santander,https://www.laliga.com/en-ES/player/januzaj,3314,januzaj,Adnan Januzaj,Januzaj,Adnan,Januzaj,male,1995-02-05T00:00:00+00:00,Brussels,76.0,186.0,False,,,BE,Real Sociedad,RSO,1909-09-07T00:00:00+0000,https://assets.laliga.com/assets/2019/06/07/medium/real-sociedad.png,11.0,Midfielder,https://assets.laliga.com/squad/2021/t188/p154976/512x556/p154976_t188_2021_1_001_000.png,Reale Arena,https://assets.laliga.com/assets/2019/10/03/medium/b20727f80d7b4c9d5ad18acec9b663c5.png,29.0,19.0,10.0,33.0,,9.0,2.0,135.0,17.0,3.0,,,,82.0,19.0,,,259.0,135.0,124.0,49.0,155.0,9.0,1.0,33.0,,,,,3.0,14.0,14.0,,3.0,,230.0,116.0,114.0,4.0,,1.0,1.0,56.0,12.0,34.0,,2.0,184.0,4.0,554.0,,,,,,,2.0,2.0,3.0,,39.0,12.0,93.0,,1.0,113.0,,,,,,,,,10.0,15.0,17.0,,16.0,16.0,20.0,36.0,12.0,46.0,23.0,,7.0,35.0,420.0,369.0,111.0,409.0,6.0,11.0,38.0,5.0,1.0,6.0,1625.0,78.0,13.0,28.0,51.0,433.0,587.0,,25.0,444.0,17.0,58.0,143.0,1164.0,53.0,110.0,40.0,33.0,4.0,2.0,40.0,230.0,23.0,103.0,0.0,5.0
LaLiga Santander,https://www.laliga.com/en-ES/player/pedrosa-1,9223,pedrosa-1,Adrià Pedrosa,Pedrosa,Adrià,Pedrosa,male,1998-05-13T00:00:00+00:00,Barcelona,69.0,176.0,False,,,ES,RCD Espanyol de Barcelona,ESP,1900-10-23T00:00:00+0000,https://assets.laliga.com/assets/2019/06/07/medium/espanyol.png,3.0,Defender,https://assets.laliga.com/squad/2021/t177/p446990/512x556/p446990_t177_2021_1_001_000.png,RCDE Stadium,https://assets.laliga.com/assets/2019/06/17/medium/306cc02af120e092849ddf38954bcb3e.png,37.0,20.0,17.0,31.0,1.0,,0.0,171.0,7.0,7.0,,8.0,,1.0,31.0,,,298.0,130.0,168.0,55.0,357.0,13.0,,31.0,,,1.0,,1.0,40.0,39.0,1.0,,1.0,261.0,110.0,151.0,,,,1.0,48.0,25.0,22.0,,1.0,61.0,,909.0,,1.0,,,,,,,3.0,,55.0,18.0,163.0,,,344.0,,,,,,,,,11.0,7.0,31.0,,4.0,,,16.0,16.0,48.0,35.0,20.0,2.0,42.0,705.0,385.0,357.0,684.0,28.0,30.0,38.0,,23.0,193.0,2722.0,60.0,86.0,19.0,45.0,460.0,933.0,,18.0,726.0,58.0,51.0,207.0,1772.0,1.0,99.0,98.0,34.0,61.0,,88.0,214.0,92.0,119.0,1.0,8.0
LaLiga Santander,https://www.laliga.com/en-ES/player/butzke,14400,butzke,Adrián Butzke,A. Butzke,Adrián,Butzke,male,1999-03-30T00:00:00+00:00,Monachil,72.0,193.0,False,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaLiga Santander,https://www.laliga.com/en-ES/player/de-la-fuente,9395,de-la-fuente,Adrián De la Fuente,De La Fuente,Adrián,De la Fuente,male,1999-02-26T00:00:00+00:00,El Escorial,77.0,179.0,False,,,ES,Villarreal CF,VIL,1923-03-10T00:00:00+0000,https://assets.laliga.com/assets/2019/06/07/medium/villarreal.png,27.0,Defender,,Estadio de la Cerámica,https://assets.laliga.com/assets/2019/10/03/medium/ac940b8f6681d614e337d20d5bf7f0a8.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaLiga Santander,https://www.laliga.com/en-ES/player/embarba,1092,embarba,Adrián Embarba,Embarba,Adrián,Embarba,male,1992-05-07T00:00:00+00:00,Madrid,66.0,173.0,True,https://twitter.com/Adri_e7,,ES,RCD Espanyol de Barcelona,ESP,1900-10-23T00:00:00+0000,https://assets.laliga.com/assets/2019/06/07/medium/espanyol.png,23.0,Forward,https://assets.laliga.com/squad/2021/t177/p132161/512x556/p132161_t177_2021_1_001_000.png,RCDE Stadium,https://assets.laliga.com/assets/2019/06/17/medium/306cc02af120e092849ddf38954bcb3e.png,48.0,31.0,17.0,32.0,2.0,15.0,0.0,158.0,13.0,3.0,,3.0,,109.0,37.0,,,324.0,179.0,145.0,69.0,161.0,19.0,,32.0,,,2.0,,,23.0,22.0,1.0,,,276.0,148.0,128.0,2.0,,2.0,0.0,36.0,19.0,35.0,,,139.0,7.0,534.0,,,,,,,,,1.0,,52.0,32.0,108.0,,,118.0,,,,,,,1.0,,20.0,16.0,24.0,,18.0,8.0,16.0,32.0,11.0,41.0,35.0,2.0,9.0,24.0,396.0,320.0,147.0,411.0,15.0,29.0,38.0,,,7.0,1995.0,77.0,25.0,30.0,43.0,450.0,576.0,,36.0,435.0,44.0,51.0,141.0,1238.0,66.0,160.0,76.0,39.0,18.0,5.0,28.0,259.0,42.0,113.0,0.0,4.0
