player_name,team,position,minutes_played,goals,assists,yellow_cards,red_cards,Shots per 90,Tackles per 90,Total Saves,Total Interceptions,Pass Success (%),Fouls Committed per 90,Expected Goals (xG),Clean Sheets,Big Chances Created,FotMob Rating
Aarón Escandell,Las Palmas,Not Available,152,0,0,0,1,,,0,0,,,,0,0,
Abdelkabir Abqar,Alavés,Not Available,2314,0,0,10,0,0.4,0.7,0,23,72.9,1.3,0.6,0,0,6.69
Abderrahman Rebbach,Alavés,Not Available,713,1,0,1,0,2.1,0.6,0,3,66.9,1.6,0.8,0,2,6.32
Abdessamad Ezzalzouli,Real Betis,Not Available,921,1,0,1,0,3.7,1.5,0,5,72.3,1.0,3.2,0,0,6.42
Abdón Prats,Mallorca,Not Available,1258,6,1,3,0,2.4,0.3,0,2,56.7,1.3,3.2,0,4,6.45
Abdul Mumin,Rayo Vallecano,Not Available,1695,1,0,5,1,0.3,0.5,0,22,80.2,0.8,0.4,0,1,6.76
Abner,Real Betis,Not Available,1397,0,1,3,0,0.3,1.2,0,15,81.0,1.0,0.1,0,3,6.74
Adnan Januzaj,Sevilla,Not Available,187,0,0,0,0,,,0,0,,,0.6,0,0,
Adrià Altimira,Villarreal,Not Available,779,0,0,3,0,,,0,0,,,0.0,0,0,
Adrià Pedrosa,Sevilla,Not Available,1749,1,4,1,0,0.8,1.3,0,15,78.6,0.3,0.7,0,9,6.78
Adrián Embarba,Almería,Not Available,2485,3,2,5,0,2.3,1.3,0,15,75.6,1.3,4.3,0,9,6.89
Aiham Ousou,Cádiz,Not Available,429,0,0,0,0,,,0,0,,,0.2,0,0,
Aihen Muñoz,Real Sociedad,Not Available,1120,0,2,2,0,0.6,1.7,0,9,77.3,1.4,0.3,0,3,6.92
Aimar Oroz,Osasuna,Not Available,2350,2,1,3,0,1.0,1.0,0,16,82.2,1.5,3.5,0,3,6.81
Aingeru Olabarrieta,Athletic Club,Not Available,8,0,0,0,0,,,0,0,,,0.0,0,0,
Aïssa Mandi,Villarreal,Not Available,1113,1,0,3,0,,,0,0,,,0.7,0,1,
Aitor Fernández,Osasuna,Not Available,550,0,0,2,0,,,0,0,,,0.1,0,0,
Aitor Paredes,Athletic Club,Not Available,2706,1,0,7,1,0.5,0.4,0,33,85.6,1.2,1.2,0,0,6.79
Aitor Ruibal,Real Betis,Not Available,1015,2,1,5,0,,,0,0,,,0.9,0,2,
Alberto Marí,Valencia CF,Not Available,264,1,1,0,0,,,0,0,,,2.1,0,1,
Alberto Moleiro,Las Palmas,Not Available,1807,3,3,1,0,1.6,0.3,0,7,81.8,0.8,2.0,0,4,6.76
Alberto Moreno,Villarreal,Not Available,1490,2,2,1,2,1.0,1.3,0,24,83.5,1.4,0.7,0,2,6.69
Alberto Risco,Getafe,Not Available,135,0,0,0,0,,,0,0,,,0.1,0,1,
Aleix García,Girona,Not Available,3201,3,6,4,1,1.1,0.8,0,36,91.7,0.8,1.8,0,9,7.47
Alejandro Catena,Osasuna,Not Available,2536,1,3,8,1,0.6,0.6,0,15,81.9,1.7,1.3,0,4,6.59
Alejandro Pozo,Almería,Not Available,970,0,0,3,0,0.4,1.1,0,7,76.8,1.5,0.4,0,0,
Alejo Véliz,Sevilla,Not Available,31,0,0,0,0,,,0,0,,,0.2,0,0,
Aleksandar Radovanovic,Almería,Not Available,571,0,0,2,0,,,0,0,,,0.0,0,0,
Aleksandar Sedlar,Alavés,Not Available,948,1,0,2,0,,,0,0,,,0.3,0,0,
Álex Berenguer,Athletic Club,Not Available,1581,7,3,4,0,1.8,0.8,0,5,73.2,1.7,5.2,0,8,6.64
Álex Remiro,Real Sociedad,Not Available,3276,0,0,2,1,,,97,0,74.9,0.0,,15,0,6.9
Álex Sola,Alavés,Not Available,1285,0,3,2,0,2.0,1.1,0,12,71.7,0.9,1.6,0,4,6.67
Álex Suárez,Las Palmas,Not Available,2566,2,0,7,0,0.2,1.3,0,18,87.4,0.9,1.6,0,0,6.81
Alexander Sørloth,Villarreal,Not Available,2491,23,6,3,0,2.8,0.1,0,0,76.6,1.2,12.7,0,6,7.26
Alfonso Espino,Rayo Vallecano,Not Available,2512,0,1,9,0,0.6,1.6,0,40,75.1,1.6,1.0,0,5,6.85
Alfonso Pedraza,Villarreal,Not Available,1119,1,3,4,1,0.7,0.7,0,13,78.9,1.1,0.6,0,6,
Amath Ndiaye,Mallorca,Not Available,388,0,0,2,0,,,0,0,,,1.6,0,1,
Anastasios Douvikas,Celta de Vigo,Not Available,886,7,1,2,0,2.6,0.7,0,2,63.4,1.8,4.6,0,2,6.6
Ander Barrenetxea,Real Sociedad,Not Available,1436,4,1,1,0,2.3,1.3,0,6,72.5,1.7,3.5,0,2,6.66
Ander Guevara,Alavés,Not Available,2936,1,0,7,0,0.5,1.0,0,13,76.0,1.5,0.7,0,1,6.84
Ander Herrera,Athletic Club,Not Available,1023,0,3,4,0,1.2,2.8,0,15,86.6,1.8,0.7,0,2,6.92
